"id","fruit_weight","fruit_length","flowering_time"
"sample_1",4.82792924359667,4.71771369041484,19.5099867532795
"sample_2",8.23460112181127,5.72419230424158,17.9598608558768
"sample_3",10.5356026215027,8.1922046951969,14.5819085751911
"sample_4",4.05691036939588,3.54897286101574,20.5954141342489
"sample_5",9.09779441596455,7.14676047048621,15.5607541431048
"sample_6",11.6804881668614,8.67546651227286,15.4544213082027
"sample_7",9.9813235722656,8.69521027715035,15.5007635128511
"sample_8",1.69312426815818,1.19411597038816,19.1759300863908
"sample_9",10.8316913212221,9.73850746201821,15.893155112913
"sample_10",8.45506881050081,6.29113032863367,16.7609656253961
"sample_11",12.8394441668112,10.6734788484872,14.8341112722346
"sample_12",11.436761261341,10.4068872601666,15.554982768994
"sample_13",13.5974861750767,9.08702607041765,13.9784832469533
"sample_14",8.01068421343454,5.78498214662201,16.1906657578007
"sample_15",11.0930347344957,8.21311898175685,13.5694672103039
"sample_16",10.2990796237082,8.23307003623721,15.4215676782681
"sample_17",9.69598737967991,7.04458819762707,15.5064247386747
"sample_18",10.8601520395839,6.0199496929641,18.8982083845802
"sample_19",9.84707363635525,5.43293168440602,14.4266310680302
"sample_20",13.2652290347619,11.0050124526556,14.8586158483656
"sample_21",6.46684289171642,4.60482129352454,15.6209127625339
"sample_22",4.78300547380868,2.16220735817251,16.3222749207524
"sample_23",10.6244287354112,7.8307876669507,15.8998713692719
"sample_24",8.36444277536224,7.24507184085976,15.4582559279943
"sample_25",9.46690534134872,8.61633377502351,16.2110507262949
"sample_26",13.0999678831453,9.48060060707402,14.2461021890309
"sample_27",3.86203782547254,2.69071286288926,17.7187789420716
"sample_28",13.7860136158034,8.92897974369673,12.0559811391757
"sample_29",0.874323176444266,1.02382026619822,18.1805731889903
"sample_30",4.16882358190408,2.61462178565996,18.5478902965799
"sample_31",11.2833046767739,8.8268386061734,16.1678228425987
"sample_32",11.1431016823153,8.92119613151953,14.9513065028097
"sample_33",3.21233079925979,3.23733091702078,18.7151431411745
"sample_34",3.18127536777357,1.89881542550441,20.0749574249465
"sample_35",10.0136596779267,7.9142088570834,17.7223630204007
"sample_36",8.04022973594603,4.65656535870085,15.4673715835346
"sample_37",3.46393919439046,1.97038718908925,18.4736408499436
"sample_38",12.117808317451,8.40763016274704,16.5946747541232
"sample_39",2.99351049472441,0.313766751086002,18.2389203054307
"sample_40",10.5016919539181,7.90516705095238,15.736359836506
"sample_41",7.56031316534266,5.8350337541672,16.8725459759784
"sample_42",8.14101363475008,5.81691438722363,15.6783797246122
"sample_43",9.12284970497162,7.44866786728833,15.8172393121497
"sample_44",7.98329439220625,5.40610693249343,16.7713483882116
"sample_45",8.91974385824015,5.59518305814468,15.9354598378344
"sample_46",3.99988304223391,3.34616670238641,19.7361100111483
"sample_47",1.92701982718149,0.79615032943678,18.6520006591426
"sample_48",7.69187917174193,6.92419038818345,16.4034454921824
"sample_49",12.6733257328868,9.15983733757442,15.7669047987078
"sample_50",6.9385726984021,5.72844783052334,15.9569288248341
"sample_51",7.96435877650828,6.23080929454437,16.7654183192152
"sample_52",13.9166941430221,9.81044945456228,12.5714685559741
"sample_53",10.627298762503,9.23105608771083,17.1496839540816
"sample_54",11.6758867535247,9.27123450971738,15.0012704569412
"sample_55",2.64551523247921,2.05594494163909,18.3803795174016
"sample_56",9.84435892859991,7.6045097942831,14.5763536349766
"sample_57",11.1402870619376,8.89864634929742,15.5345707346922
"sample_58",6.00118275242156,4.57275337357944,16.6391882854894
"sample_59",2.68345067145275,-0.381884062932786,18.2864289354784
"sample_60",1.61360963308098,1.43811358763526,20.8997664414691
